ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
B77L,"777-200LR, 777-F",C,boeing-777-200lr.jpg,AC7,304,True,2009,,,BOEING,USA,63.73,64.8,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B77W,777-300ER,C,boeing-777-300er.png,AC7,832,True,2004,,,BOEING,USA,73.86,64.8,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B788,787-8 Dreamliner,C,B787-800.png,AC0,393,True,2011,,,BOEING,USA,55.91,60.12,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B789,787-9 Dreamliner,C,B787-9.png,AC0,595,True,2014,,,BOEING,USA,62,60.12,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B78X,787-10 Dreamliner,C,B787-1000.png,AC0,84,True,2018,,,BOEING,USA,67.48,60.12,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
BA11,BAC One-Eleven,M,BAC_One-Eleven-475_janes77.png,AC7,244,True,1963,1989,2019,BRITISH AEROSPACE,UK,28.5,28.5,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
BASS,B.206 Basset,C,208-2.jpg,AC0,79,True,1964,1969,,BEAGLE,UK,10.26,13.957,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
BCAT,F8F Bearcat,M,BCAT.png,AC2,1265,True,1945,,1963,GRUMMAN,USA,8.61,10.92,7.25,AC9,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
BD4,BD-4,C,BD-4.png,AC0,700,True,1968,,,BEDE,USA,6.5,7.8,,,prop,['nose'],1,L1P,high,straight,False,False,False,False,False,False,fuselage,1,,
BDOG,B.125 Bulldog,C,B125.jpg,AC2,328,True,1969,1982,,BEAGLE,UK,7.09,10.11,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
